OBJECTID_1,Name,County,Address,City,ZIP,Source,Type,Subtype,PhotoURL,created_user,created_date,last_edited_user,last_edited_date,x,y
165,Canton Community Garden,Cherokee,E Marietta Street,Canton,0,ACFB_ALFI,Garden,Community,,,,SDE,01/30/2015 21:10:09,-84.4915706,34.2334871
166,Alpharetta Community Garden,Fulton,Willis Road,Alpharetta,0,ACFB_ALFI,Garden,Community,,,,SDE,01/30/2015 21:10:09,-84.3113803,34.07024168
167,Westview Community Garden,Fulton,S. Gordon Street SW,Atlanta,0,ACFB_ALFI,Garden,Community,,,,SDE,06/14/2016 15:04:32,-84.43514256,33.73962136
168,North DeKalb Mall - Urban Farm,DeKalb,Lawrenceville Hwy,,0,ACFB_ALFI,Farm,Unclassified,,,,SDE,02/05/2015 17:47:45,-84.27693601,33.80541005
169,North DeKalb Mall - Urban Orchard,DeKalb,Lawrenceville Hwy,,0,ACFB_ALFI,Orchard,Unclassified,,,,SDE,02/05/2015 17:47:06,-84.27683023,33.80544546
170,Yoder Family Farm,Cherokee,Bobwhite Trail,,0,ALFI,Farm,Unclassified,,,,SDE,02/05/2015 17:47:45,-84.47133896,34.17722094
171,Yves Garden,Douglas,Chapel Hill Road,,0,ALFI,Farm,Unclassified,,,,SDE,02/05/2015 17:47:45,-84.72401903,33.67579188
172,Wesley Way Community Garden - Henry Gardens,Henry,John Wesley Way,,0,Community Gardens of Henry County,Garden,Community,,,,SDE,01/30/2015 21:10:09,-84.10332222,33.45299983
173,Wesley International Academy,Fulton,Connally Street SE,Atlanta,0,ALFI,Orchard,Unclassified,,,,SDE,02/05/2015 17:47:06,-84.38077807,33.74672063
174,Waleska Nursery,Cherokee,George Gray Lane,,0,ALFI,Farm,Unclassified,,,,SDE,02/05/2015 17:47:45,-84.56464034,34.32071371
175,Vineyard Farms,Cobb,Macland Road,,0,ALFI,Farm,Unclassified,,,,SDE,02/05/2015 17:47:45,-84.72017966,33.90482044
176,Umarima Wa Burundi - Global Growers,DeKalb,Sams Street,Decatur,0,Global Growers Network,Garden,Community,,,,SDE,01/30/2015 21:10:09,-84.28317584,33.77320767
177,Two Doves Farm,Fayette,Ebenezer Church Road,,0,,Farm,Unclassified,,,,SDE,02/05/2015 17:47:45,-84.50937764,33.40578382
178,Truly Living Well - Wheat Street,Fulton,Hilliard Street,Atlanta,0,ALFI,Farm,Unclassified,,,,SDE,07/07/2016 20:26:52,-84.37579414,33.75649283
179,Truly Living Well - East Point,Fulton,Washington Road,East Point,0,ALFI,Farm,Unclassified,,,,SDE,02/05/2015 17:47:45,-84.46815777,33.66454324
180,Trefoil Garden,Cherokee,Bascomb Drive,,0,ALFI,Farm,Unclassified,,,,SDE,02/05/2015 17:47:44,-84.55145994,34.09339791
181,Tierra Sonrisa,Fulton,Hutcheson Ferry Road,Chattahoochee Hills,0,ALFI,Farm,Unclassified,,,,SDE,02/05/2015 17:47:44,-84.6838645,33.52699551
182,Villages at Carver - YMCA Boys and Girls Club,Fulton,Pryor Road,Atlanta,0,ACFB_ALFI,Garden,Community,,,,SDE,01/30/2015 21:10:09,-84.39325114,33.71113783
183,The Funny Farm,DeKalb,Allgood Road,,0,ALFI,Farm,Unclassified,,,,SDE,02/05/2015 17:47:44,-84.21119688,33.77766807
184,TaylOrganic Farms,Henry,Highway 155,,0,ALFI,Farm,Unclassified,,,,SDE,02/05/2015 17:47:44,-84.18429227,33.63145122
185,Swarm Chasers Apiaries,Cobb,Mount Gerizim Road,,0,ALFI,Farm,Unclassified,,,,SDE,02/05/2015 17:47:44,-84.54200845,33.79328904
186,Sullivan Center Community Garden,Fulton,Dill Avenue SW,Atlanta,0,ALFI,Garden,Community,,,,SDE,01/30/2015 21:10:09,-84.4089127,33.71875238
187,Stokes Farm,Gwinnett,Alcovy Road,,0,ALFI,Farm,Unclassified,,,,SDE,02/05/2015 17:47:45,-83.90924347,33.96738336
188,Steve Millers Farm,DeKalb,Cimarron Drive,,0,ALFI,Farm,Unclassified,,,,SDE,02/05/2015 17:47:45,-84.2235742,33.81522859
189,Stems N Roots Farm,Douglas,Riley Road,,0,ALFI,Farm,Unclassified,,,,SDE,02/05/2015 17:47:45,-84.68554838,33.78062804
190,Southern Place Apartments - Global Growers,DeKalb,Noble Vines Drive,Clarkston,0,Global Growers Network,Garden,Community,,,,SDE,01/30/2015 21:10:09,-84.24801843,33.81328817
191,Sola Fide Farm,Henry,Lullwater Circle,,0,ALFI,Farm,Unclassified,,,,SDE,02/05/2015 17:47:45,-84.14643342,33.48431437
192,SnapOla Farm,Henry,Wynne Road,,0,ALFI,Farm,Unclassified,,,,SDE,02/05/2015 17:47:45,-83.98554389,33.45585195
193,Serenity Gardens,Gwinnett,Old Thompson Mill Road,,0,ALFI,Farm,Unclassified,,,,SDE,02/05/2015 17:47:45,-83.8984019,34.10297326
194,Serenbe Farms,Fulton,Selborne Lane,Chattahoochee Hills,0,ALFI,Farm,Unclassified,,,,SDE,02/05/2015 17:47:45,-84.73487518,33.51860737
195,Scott Park Garden Club,DeKalb,N Candler Street,Decatur,0,ALFI,Garden,Community,,,,SDE,01/30/2015 21:10:09,-84.29351818,33.77327636
196,Scharko Farms,Fulton,Pine Street,Fairburn,0,ALFI,Farm,Unclassified,,,,SDE,02/05/2015 17:47:45,-84.5765281,33.56406321
197,S & B Farms,Gwinnett,Highpoint Road,Snellville,0,ALFI,Farm,Unclassified,,,,SDE,02/05/2015 17:47:45,-84.04658074,33.85848529
198,Running Hen Farms,Rockdale,Mink Livsey Road,,0,ALFI,Farm,Unclassified,,,,SDE,02/05/2015 17:47:45,-84.01026871,33.76318
199,Rockin S Farm,Cherokee,Claude Scott Drive,,0,ALFI,Farm,Unclassified,,,,SDE,02/05/2015 17:47:45,-84.30139886,34.23337424
200,Robinson Family Farm,Henry,Eskew Road,,0,ALFI,Farm,Unclassified,,,,SDE,02/05/2015 17:47:45,-84.05799717,33.43687772
201,Riverdale Chicken Ranch,Clayton,Lyle Drive,,0,ALFI,Farm,Unclassified,,,,SDE,02/05/2015 17:47:45,-84.42071154,33.54538752
