x,y,Record_ID,Name,Address,Additonal_Address,City,State,ZIP,Zip4,County,Type,Latitude,Longitude,Incentive_Program,Grantee_Name,ObjectId
-9407672.395,3991692.02002697,335152,Walgreens 07394,3740 Cascade Rd SW,,Atlanta,GA,30331,2108,FULTON,Other,33.723179,-84.510559,,,8359
-9379738.104,3969226.67776681,295077,CARNICERIA GARCIA 2,5627 N Henry Blvd,Ste I2,Stockbridge,GA,30281,3244,HENRY,Grocery Store,33.555164,-84.259621,,,8417
-9353541.4,4024520.11051553,295094,PUBLIX 495,911 Duluth Hwy,Ste G5,Lawrenceville,GA,30043,7308,GWINNETT,Supermarket,33.968105,-84.024292,,,8419
-9349324.617,4021774.46174739,295475,WALGREENS  5899,181 S Clayton St,,Lawrenceville,GA,30045,5716,GWINNETT,Other,33.947647,-83.986412,,,8495
-9349533.564,4033661.95738323,295524,PUBLIX 538,2380 BUFORD DRIVE,,LAWRENCEVILLE,GA,30043,    ,GWINNETT,Supermarket,34.036186,-83.988289,,,8527
-9391562.906,3998646.49439526,334061,Whole Foods Market 10196,650 PONCE DE LEON AVE NE,,ATLANTA,GA,30308,    ,FULTON,Super Store,33.775124,-84.365845,,,8541
-9373697.018,4009689.66786029,295637,Walmart S/C  2584,4375 Lawrenceville Hwy,,Tucker,GA,30084,3702,DEKALB,Super Store,33.857544,-84.205353,,,8561
-9429082.361,4020833.67394419,382152,PUBLIX  496,5100 Dallas Hwy,,Powder Springs,GA,30127,4491,COBB,Supermarket,33.940636,-84.702888,,,8686
-9386407.589,4037617.67094346,381074,CVS Pharmacy 2227,11710 Alpharetta Hwy,,Roswell,GA,30076,3807,FULTON,Other,34.065628,-84.319534,,,8726
-9395818.761,3995331.866372,295841,Flowers Bakery Outlet 144,165 Northside Dr SW,,Atlanta,GA,30313,1317,FULTON,Convenience Store,33.75037,-84.404076,,,8741
-9397945.409,4032472.09938306,334461,PUBLIX 0086,4401 SHALLOWFORD RD,,ROSWELL,GA,30075,    ,FULTON,Supermarket,34.027328,-84.42318,,,8774
-9428569.401,3995060.22018568,381350,DOLLAR GENERAL  3399,2190 Midway Rd,,Douglasville,GA,30135,1055,DOUGLAS,Other,33.748341,-84.69828,,,8871
-9366967.977,3953090.79401154,334690,Food Depot 24,560 Macon St,,McDonough,GA,30253,3534,HENRY,Supermarket,33.434284,-84.144905,,,8882
-9410141.35,4042481.90337443,1662079,Chevron Food Mart,875 Towne Lake Pkwy,,Woodstock,GA,30189,1570,CHEROKEE,Convenience Store,34.101818,-84.532738,,,8892
